,Titre,Description
0,Le rendez-vous manqué d’Antony Blinken avec Erdogan,"Désapprouvant le soutien de Washington à Israël, Erdogan n’a pas rencontré le secrétaire d’État américain à Ankara."
1,L’empire de Donald Trump devant les juges,"RÉCIT - L’ex-président est dopé dans les sondages par chaque comparution, mais sa fortune est menacée."
2,L’Ukraine dans l’impasse après l’échec de la contre-offensive,"ANALYSE - À Kiev, les autorités se préparent à subir les bombardements russes de l’hiver et redoutent que l’aide militaire occidentale finisse par se tarir."
3,«Premier combat spatial» : Israël aurait intercepté un missile yéménite au-delà de l’atmosphère terrestre,"Un missile balistique Qader tiré par les rebelles houthis a été abattu par un intercepteur Arrow 2 israélien, selon le quotidien Haaretz. C’est la première fois qu’une interception exo-atmosphérique est réalisée sur le champ de bataille."
4,Le Chili peine à réformer la Constitution de Pinochet,"DÉCRYPTAGE - Soumis à référendum le 17 décembre prochain, le nouveau texte, plus conservateur, divise encore les Chiliens."
5,Guerre en Ukraine : enquête sur deux responsables de la Défense soupçonnés d’avoir détourné plusieurs millions d’euros,Les deux responsables sont soupçonnés d’avoir détourné plusieurs millions d’euros en achetant des gilets pare-balles de mauvaise qualité.
6,"«Nous vivons sur notre terre biblique» : Lapid, membre de l'opposition israélienne, veut aussi maintenir la colonisation","L’ancien premier ministre, qui avait fait chuter un temps Benjamin Netanyahou, a également rappelé son approbation d’une solution à deux états."
7,Allemagne : une crèche nommée Anne Frank veut se débaptiser pour trouver un nom «plus ouvert»,"L’histoire de l’adolescente juive tuée par les nazis est difficile à comprendre pour les jeunes enfants, en particulier ceux issus de l’immigration, selon la directrice de l'établissement qui souhaite promouvoir «l'autodétermination et la diversité des enfants»."
8,Guerre en Ukraine : Zelensky annonce «la destruction» d'un important navire russe en mer Noire,"LE POINT SUR LA SITUATION - Dans le même temps, Robotyne, dont la libération fin août avait marqué une percée de la contre-offensive ukrainienne, est pris d’assaut par les forces russes qui tentent de reprendre leurs positions."
9,"Guerre Israël-Hamas : 40 Français ont été tués en Israël, selon un nouveau bilan","«La discussion est en cours d'abord avec les autorités israéliennes, mais aussi avec les partenaires de la région» parce que «notre priorité, c'est bien sûr la libération des otages», assure Elisabeth Borne."
10,Guerre Israël-Hamas : la policière israélienne attaquée au couteau à Jérusalem-Est est décédée,"Une attaque au couteau a eu lieu devant un poste de police de Jérusalem-Est, près de la porte de Damas. L'assaillant a été tué."
11,EN DIRECT - Guerre Israël-Hamas : Tsahal «augmente la pression sur la ville de Gaza»,"Le porte-parole de l’armée israélienne, Daniel Hagari, a indiqué les dernières opérations ont «considérablement diminué la capacité du Hamas à contre-attaquer»."
12,"À Delek Gilat, autour des barbecues, des civils israéliens réconfortent leurs soldats",REPORTAGE - Des centaines de volontaires se relaient chaque jour pour améliorer leur quotidien.
13,Guerre en Ukraine : Zelensky invite Trump à Kiev,"Le président ukrainien a raillé les propos de l’ancien président des États-Unis se vantant de pouvoir mettre un terme au conflit en 24 heures, et lui a proposé de le rencontrer pour lui expliquer la complexité du sujet."
14,Conflit Israël-Hamas : un ministre sanctionné après avoir évoqué la bombe nucléaire à Gaza,"Interrogé par un journaliste sur le fait de larguer «une sorte de bombe nucléaire sur toute la bande de Gaza», Amichay Eliyahu avait répondu que «c’est une option»."
15,"Une fois la guerre avec Israël finie, quels scénarios pour une bande de Gaza sans le Hamas?","ANALYSE - Les soldats de Tsahal sont loin de leur objectif, l’anéantissement du Hamas, mais déjà les diplomates américains, européens et arabes tentent de concevoir avec les autorités israéliennes et palestiniennes ce que pourrait être Gaza demain."
16,Conflit Israël-Hamas : visite surprise à Bagdad du chef de la diplomatie américaine,Antony Blinken a échangé avec le premier ministre irakien Mohamed Chia al-Soudani pour éviter une extension du conflit dans la région.
17,États-Unis : un sondage donne Trump devant Biden dans cinq états clés,"À un an de la présidentielle américaine, la tendance n’est pas en faveur du sortant, selon un sondage du New York Times publié ce dimanche. Il perd notamment du terrain chez les jeunes."
18,"À Budapest, l’aide aux soldats ukrainiens s’organise","RÉCIT - Alors que leur gouvernement refuse un appui militaire à l’Ukraine, des Hongrois épaulent leurs semblables des unités de Transcarpatie."
19,Le Canada mise sur l’immigration,"DÉCRYPTAGE - Toujours plus nombreux, les nouveaux arrivants sont accueillis à bras ouverts."
20,Conflit Israël-Hamas : un ministre sanctionné après avoir évoqué la bombe nucléaire à Gaza,"Interrogé par un journaliste sur le fait de larguer «une sorte de bombe nucléaire sur toute la bande de Gaza», Amichay Eliyahu avait répondu que «c’est une option»."
21,"Une fois la guerre avec Israël finie, quels scénarios pour une bande de Gaza sans le Hamas?","ANALYSE - Les soldats de Tsahal sont loin de leur objectif, l’anéantissement du Hamas, mais déjà les diplomates américains, européens et arabes tentent de concevoir avec les autorités israéliennes et palestiniennes ce que pourrait être Gaza demain."
22,Conflit Israël-Hamas : visite surprise à Bagdad du chef de la diplomatie américaine,Antony Blinken a échangé avec le premier ministre irakien Mohamed Chia al-Soudani pour éviter une extension du conflit dans la région.
23,États-Unis : un sondage donne Trump devant Biden dans cinq états clés,"À un an de la présidentielle américaine, la tendance n’est pas en faveur du sortant, selon un sondage du New York Times publié ce dimanche. Il perd notamment du terrain chez les jeunes."
24,"À Budapest, l’aide aux soldats ukrainiens s’organise","RÉCIT - Alors que leur gouvernement refuse un appui militaire à l’Ukraine, des Hongrois épaulent leurs semblables des unités de Transcarpatie."
25,Le Canada mise sur l’immigration,"DÉCRYPTAGE - Toujours plus nombreux, les nouveaux arrivants sont accueillis à bras ouverts."
26,"New Delhi étouffée par la pollution, 40 fois supérieure au maximum recommandé par l’OMS","EN IMAGES - Les écoles de la capitale indienne, déjà fermées vendredi et samedi, le resteront jusqu’à la fin de la semaine. Les critiques accusent le gouvernement d'ignorer délibérément la part de l'agriculture, puissant lobby électoral, dans cette pollution."
27,La secrétaire générale de l’OIF Louise Mushikiwabo au Figaro: «Les jeunes et les femmes sont les priorités de la francophonie»,"ENTRETIEN EXCLUSIF - De nationalité rwandaise, la secrétaire générale de l’Organisation internationale de la francophonie affirme son opposition à l’écriture inclusive et décrypte les raisons de la crise politique ainsi que du sentiment antifrançais qui secouent l’Afrique actuellement."
28,Guerre en Ukraine : 20 soldats tués par un tir de missile russe lors d’une cérémonie de remise de décorations,"Le ministre ukrainien de la Défense, Rustem Umerov, a qualifié l'incident de «tragédie» et ordonné une enquête approfondie."
29,Guerre en Ukraine : Kiev a frappé un chantier naval en Crimée occupée par la Russie,"L’Ukraine a tiré 15 missiles de croisière dont 13 ont été interceptés, selon la Russie. Les tirs ont endommagé un navire et entraîné la chute de débris sur un quai."
